screen_id,screen_name,actor,locale_scope,menu_code,feature_code,route_or_url,template_or_component,status_model,related_apis,related_tables,design_sources,notes
COMMON-SITEMAP,사용자 사이트맵,USER,"ko,en",HMENU1,,/sitemap,"src/main/resources/templates/egovframework/com/home/sitemap.html, src/main/resources/templates/egovframework/com/home/sitemap_en.html",MENU_TREE_RENDER,"GET /sitemap; GET /en/sitemap","COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER","/home/imaneya/workspace/화면설계/화면설계서_최종통합.txt, /home/imaneya/workspace/화면설계/2. main_home_menu.html","HMENU1 메뉴 트리와 공개 로그인·회원가입·회원사 가입 플로우를 함께 렌더링"
ADMIN-CONTENT-SITEMAP,관리자 사이트맵,ADMIN,"ko,en",AMENU1,,/admin/content/sitemap,"src/main/resources/templates/egovframework/com/admin/sitemap.html, src/main/resources/templates/egovframework/com/admin/sitemap_en.html",ADMIN_MENU_TREE_RENDER,"GET /admin/content/sitemap; GET /en/admin/content/sitemap","COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE","/home/imaneya/workspace/화면설계/화면설계서_최종통합.txt, /home/imaneya/workspace/화면설계/3. admin_menu_dashboard.html","AMENU1 메뉴 트리와 현재 관리자 VIEW 권한을 기준으로 관리자 사이트맵을 동적 렌더링"
ADMIN-HELP-MANAGEMENT,화면 도움말 운영 및 수정 디렉션,ADMIN,"ko,en",A1900101,"A1900101_VIEW + A1900101_EDIT",/admin/system/help-management,"frontend/src/features/help-management/HelpManagementMigrationPage.tsx, frontend/src/features/help-management/ScreenCommandCenterPanel.tsx",HELP_CONTENT_MANAGEMENT,"GET /api/admin/help-management/page; POST /api/admin/help-management/save; GET /api/admin/help-management/screen-command/page","UI_HELP_PAGE, UI_HELP_ITEM, COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE, AUDIT_EVENT","/home/imaneya/workspace/화면설계/3. admin_menu_dashboard.html","기존 도움말 운영 화면 안에 수정 디렉션 탭을 추가해 화면-요소-이벤트-API-권한-스키마 연결을 탐색"
ADMIN-SR-WORKBENCH,SR 워크벤치,ADMIN,"ko,en",A1900102,"A1900102_VIEW + action features",/admin/system/sr-workbench,frontend/src/features/sr-workbench/SrWorkbenchMigrationPage.tsx,SR_TICKET_STATUS,"GET /api/admin/sr-workbench/page; POST /api/admin/sr-workbench/tickets; POST /api/admin/sr-workbench/tickets/{ticketId}/approve; POST /api/admin/sr-workbench/tickets/{ticketId}/prepare-execution; POST /api/admin/sr-workbench/tickets/{ticketId}/execute","SR ticket jsonl, SR Codex runner history jsonl, COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE","/home/imaneya/workspace/화면설계/3. admin_menu_dashboard.html","화면 기반 SR 발행, 해결 direction 생성, 승인, Codex 실행 준비, 서버 내부 runner 실행 결과 관리"
ADMIN-CODEX-REQUEST,Codex 요청,ADMIN,"ko,en",A1010201,"A1010201_VIEW + codex execute actions",/admin/system/codex-request,"frontend/src/features/codex-provision/CodexProvisionMigrationPage.tsx, src/main/resources/templates/egovframework/com/admin/codex_provision.html",CODEX_ADMIN_PROXY,"GET /admin/system/codex-request/page-data; POST /admin/system/codex-request/login; POST /admin/system/codex-request/execute; GET /admin/system/codex-request/history; POST /admin/system/codex-request/history/{logId}/inspect; POST /admin/system/codex-request/history/{logId}/remediate","COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE, CODEX_HISTORY_JSONL","/home/imaneya/workspace/화면설계/3. admin_menu_dashboard.html","기존 codex-provision 별칭을 유지하면서 codex-request URL을 정식 관리자 진입점으로 사용"
ADMIN-FULL-STACK-MANAGEMENT,풀스택 관리,ADMIN,"ko,en",AMENU_SYSTEM_FULL_STACK_MANAGEMENT,"A0060108_VIEW + menu action features",/admin/system/full-stack-management,frontend/src/features/menu-management/FullStackManagementMigrationPage.tsx,FULL_STACK_MENU_GOVERNANCE,"GET /admin/system/full-stack-management/page-data; POST /admin/system/menu-management/create-page; POST /admin/system/menu-management/order; GET /api/admin/help-management/screen-command/page","COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE, COMTNUSERFEATUREOVERRIDE, AUDIT_EVENT","/home/imaneya/workspace/화면설계/3. admin_menu_dashboard.html","기존 메뉴 관리를 보존한 상태에서 별도 풀스택 관리 화면으로 메뉴-화면-이벤트-API-스키마-컬럼 연결을 탐색"
ADMIN-CERTIFICATE-OBJECTION-LIST,이의신청 처리,ADMIN,"ko,en",A0020202,A0020202_VIEW,/admin/certificate/objection_list,frontend/src/features/certificate-objection-list/CertificateObjectionListMigrationPage.tsx,CERTIFICATE_OBJECTION_QUEUE,"GET /admin/certificate/objection_list; GET /en/admin/certificate/objection_list; GET /admin/certificate/objection_list/page-data","COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE","/home/imaneya/workspace/화면설계/3. admin_menu_dashboard.html, docs/operations/db-menu-work-order-wbs-20260317.md","certificate 관리자 메뉴의 이의신청 처리 list 화면. 검색/상태/긴급도 기준 page-data payload로 운영 큐 조회"
ADMIN-EXTERNAL-LOGS,외부 연계 로그,ADMIN,"ko,en",A0050303,ADMIN_A0050303_VIEW,/admin/external/logs,frontend/src/features/external-logs/ExternalLogsMigrationPage.tsx,EXTERNAL_INTEGRATION_LOG_QUEUE,"GET /admin/external/logs/page-data","ACCESS_EVENT, ERROR_EVENT, TRACE_EVENT","/home/imaneya/workspace/화면설계/3. admin_menu_dashboard.html, docs/operations/db-menu-work-order-wbs-20260317.md","외부 연계 access/error/trace 이벤트를 하나의 운영 큐로 합쳐 조회하고 watchlist 연계를 함께 점검"
ADMIN-EXTERNAL-MONITORING,연계 모니터링,ADMIN,"ko,en",A0050106,ADMIN_A0050106_VIEW,/admin/external/monitoring,frontend/src/features/external-monitoring/ExternalMonitoringMigrationPage.tsx,EXTERNAL_INTEGRATION_MONITORING,"GET /admin/external/monitoring/page-data","ACCESS_EVENT, ERROR_EVENT, TRACE_EVENT","/opt/reference/screen/0. Gnb메뉴/admin_gnb_new.html","외부연계 상태, 동기화 적체, 웹훅 위험 신호를 통합 보드로 점검"
ADMIN-EMISSION-RESULT-DETAIL,산정 결과 상세,ADMIN,"ko,en",A0020102,ADMIN_A0020102_VIEW,/admin/emission/result_detail,frontend/src/features/emission-result-detail/EmissionResultDetailMigrationPage.tsx,EMISSION_RESULT_DETAIL_REVIEW,"GET /admin/emission/result_detail; GET /en/admin/emission/result_detail; GET /admin/emission/result_detail/page-data","COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE","/home/imaneya/workspace/화면설계/3. admin_menu_dashboard.html, docs/operations/db-menu-work-order-wbs-20260317.md","산정 결과 단건의 요약, 검토 포인트, 배출지 산정 내역, 증빙과 이력을 한 화면에서 확인"
