api_id,method,endpoint,actor,auth_rule,request_dto,response_dto,controller_action,service_method,state_effect,related_tables,external_integration,notes
COMMON-SITEMAP-PAGE,GET,/sitemap,USER,PUBLIC,None,Thymeleaf sitemap view,SiteMapPageController.sitemap,SiteMapService.getUserSiteMap,READ_ONLY_MENU_TREE,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER",N,HMENU1 메뉴 트리와 공개 로그인·회원가입·회원사 가입 플로우를 읽어 사용자 사이트맵 HTML 렌더링
COMMON-SITEMAP-PAGE-EN,GET,/en/sitemap,USER,PUBLIC,None,Thymeleaf sitemap view,SiteMapPageController.sitemapEn,SiteMapService.getUserSiteMap,READ_ONLY_MENU_TREE,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER",N,영문 사용자 사이트맵 HTML 렌더링
ADMIN-SITEMAP-PAGE,GET,/admin/content/sitemap,ADMIN,ADMIN_SESSION,None,Thymeleaf sitemap view,AdminSiteMapController.sitemap,SiteMapService.getAdminSiteMap,READ_ONLY_MENU_TREE_WITH_PERMISSION,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,현재 관리자 VIEW 권한으로 접근 가능한 관리자 사이트맵 HTML 렌더링
ADMIN-SITEMAP-PAGE-EN,GET,/en/admin/content/sitemap,ADMIN,ADMIN_SESSION,None,Thymeleaf sitemap view,AdminSiteMapController.sitemapEn,SiteMapService.getAdminSiteMap,READ_ONLY_MENU_TREE_WITH_PERMISSION,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 사이트맵 HTML 렌더링
FRONTEND-TELEMETRY-INGEST,POST,/api/telemetry/events,USER_OR_ADMIN,SESSION_OR_CSRF,FrontendTelemetryBatchRequest,"{ success, acceptedCount }",TelemetryController.ingestEvents,TraceEventService.recordFrontendEvents,INSERT_TRACE_EVENTS,TRACE_EVENT,N,프런트 page_view/ui_action/function/api 응답 이벤트를 배치 적재
ADMIN-HELP-MANAGEMENT-PAGE,GET,/api/admin/help-management/page,ADMIN,A1900101_VIEW,pageId,HelpManagementPagePayload,AdminHelpManagementController.getHelpPage,HelpContentService.getPageHelpForAdmin,READ_ONLY,"UI_HELP_PAGE, UI_HELP_ITEM",N,도움말 메타데이터와 단계 목록 조회
ADMIN-HELP-MANAGEMENT-SAVE,POST,/api/admin/help-management/save,ADMIN,A1900101_EDIT,HelpManagementSaveRequest,"{ success, pageId, message }",AdminHelpManagementController.saveHelpPage,HelpContentService.savePageHelp,UPSERT_HELP_CONTENT,"UI_HELP_PAGE, UI_HELP_ITEM, AUDIT_EVENT",N,도움말 저장 후 감사 로그 기록
ADMIN-SCREEN-COMMAND-PAGE,GET,/api/admin/help-management/screen-command/page,ADMIN,A1900101_VIEW,pageId,ScreenCommandPagePayload,AdminHelpManagementController.getScreenCommandPage,ScreenCommandCenterService.getScreenCommandPage,READ_ONLY_METADATA,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,선택한 화면 기준 요소-이벤트-API-권한-스키마 연결 메타데이터 조회
ADMIN-SR-WORKBENCH-PAGE,GET,/api/admin/sr-workbench/page,ADMIN,A1900102_VIEW,pageId,SrWorkbenchPagePayload,AdminSrWorkbenchController.getPage,SrTicketWorkbenchService.getPage,READ_ONLY_METADATA,"SR_TICKET_JSONL, COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,워크벤치 화면 데이터와 최근 SR 티켓 조회
ADMIN-SR-TICKET-CREATE,POST,/api/admin/sr-workbench/tickets,ADMIN,A1900102_CREATE,SrTicketCreateRequest,"{ success, message, ticket }",AdminSrWorkbenchController.createTicket,SrTicketWorkbenchService.createTicket,CREATE_SR_TICKET,SR_TICKET_JSONL,N,화면 메타데이터 기반 SR 티켓 발행
